NAME,B01003_001E,B19013_001E,B25046_001E,B08126_001E,B08301_001E,state,county,tract
Census Tract 4814.04; Los Angeles County; California,3933,80962,2688,1941,1941,06,037,481404
Census Tract 4815; Los Angeles County; California,4159,72596,2876,1993,1993,06,037,481500
Census Tract 4816.03; Los Angeles County; California,3450,79884,1986,1655,1655,06,037,481603
Census Tract 4816.04; Los Angeles County; California,3980,83958,2531,2004,2004,06,037,481604
Census Tract 4816.05; Los Angeles County; California,2806,96333,1959,1523,1523,06,037,481605
Census Tract 4816.06; Los Angeles County; California,5003,66280,2964,2240,2240,06,037,481606
Census Tract 4817.11; Los Angeles County; California,4609,54688,2164,2091,2091,06,037,481711
Census Tract 4817.12; Los Angeles County; California,5177,46094,2786,2252,2252,06,037,481712
Census Tract 4817.13; Los Angeles County; California,2876,72443,2030,1433,1433,06,037,481713
Census Tract 4817.14; Los Angeles County; California,2742,44821,1387,1065,1065,06,037,481714
Census Tract 4818; Los Angeles County; California,2307,101250,1748,1110,1110,06,037,481800
Census Tract 4819.01; Los Angeles County; California,5652,96881,4012,2641,2641,06,037,481901
Census Tract 4819.02; Los Angeles County; California,3255,74608,2075,1590,1590,06,037,481902
Census Tract 4820.01; Los Angeles County; California,2676,121736,2017,1069,1069,06,037,482001
Census Tract 4820.02; Los Angeles County; California,7210,94748,5435,3361,3361,06,037,482002
Census Tract 4821.01; Los Angeles County; California,4373,85469,2620,2257,2257,06,037,482101
Census Tract 4821.02; Los Angeles County; California,3188,106321,2279,1433,1433,06,037,482102
Census Tract 4822.01; Los Angeles County; California,3922,56193,2209,1571,1571,06,037,482201
Census Tract 4822.02; Los Angeles County; California,5022,56930,2853,2306,2306,06,037,482202
Census Tract 4823.01; Los Angeles County; California,5176,78472,2639,2359,2359,06,037,482301
Census Tract 4823.03; Los Angeles County; California,5075,65742,2871,2113,2113,06,037,482303
Census Tract 4823.04; Los Angeles County; California,2842,58099,1319,1290,1290,06,037,482304
Census Tract 4824.01; Los Angeles County; California,3600,63750,2215,1693,1693,06,037,482401
Census Tract 4824.03; Los Angeles County; California,3172,47610,1731,1415,1415,06,037,482403
Census Tract 4824.04; Los Angeles County; California,3428,64828,2851,1708,1708,06,037,482404
Census Tract 4825.02; Los Angeles County; California,3519,65272,1863,1393,1393,06,037,482502
Census Tract 4825.03; Los Angeles County; California,3808,67268,2265,1800,1800,06,037,482503
Census Tract 4825.21; Los Angeles County; California,5279,75464,3167,2503,2503,06,037,482521
Census Tract 4825.22; Los Angeles County; California,4404,87775,2753,2086,2086,06,037,482522
Census Tract 4826; Los Angeles County; California,6377,102283,4708,3056,3056,06,037,482600
Census Tract 4827.01; Los Angeles County; California,3807,77628,2402,1995,1995,06,037,482701
Census Tract 4827.02; Los Angeles County; California,2462,83594,1739,1148,1148,06,037,482702
Census Tract 4828.01; Los Angeles County; California,4069,95556,2718,1776,1776,06,037,482801
Census Tract 5001; Los Angeles County; California,3601,197250,3008,1692,1692,06,037,500100
Census Tract 5002.02; Los Angeles County; California,4827,125341,3797,1708,1708,06,037,500202
Census Tract 5002.03; Los Angeles County; California,4178,128224,3103,1868,1868,06,037,500203
Census Tract 5002.04; Los Angeles County; California,2256,171029,1938,1289,1289,06,037,500204
Census Tract 5003; Los Angeles County; California,2870,135625,2938,1510,1510,06,037,500300
Census Tract 5004.02; Los Angeles County; California,4766,69563,2724,2182,2182,06,037,500402
Census Tract 5004.03; Los Angeles County; California,3497,90625,2766,1585,1585,06,037,500403
