threshold_meters,block_groups_desert,pct_block_groups,population_desert,pct_population
600,2332,35.505481120584655,10873886,38.04845290688294
800,1972,30.024360535931788,9266048,32.42252042746419
1000,1761,26.81181485992692,8341260,29.186625489182656
