variable,desert_value,non_desert_value,difference_pct
Median Household Income ($),96897.0,69861.0,38.69970369734187
% Households with No Vehicle,1.2492901760363428,3.1516743269862113,-1.9023841509498685
Mean Population Density (people/km²),12208.230096720401,20285.005703770377,-39.81648181419414
