Mismatch Category,Block Groups,Population,% Population,Mean Dependence,Mean Accessibility,Mean Mismatch
Low,3284,13898834,48.63294786331064,0.18279127953483723,0.9756058403092314,0.005447461651217186
Medium,1970,8830084,30.89705329243111,0.19744858401617535,0.9382955547571523,0.0061277552106156355
High,1314,5850131,20.469998844258253,0.2441987267825996,0.8067438419711381,0.028484320564662376
